 | 06-03-2023 12:55:59 | App1 | Error | This is an error message! | 
 | 06-03-2023 12:55:59 | App2 | Error | This is an error message! | 
 | 06-03-2023 12:55:59 | App2 | Warning | This is a warning message! | 
 | 06-03-2023 12:55:59 | App2 | Info | This is an informative message! | 
 | 06-03-2023 12:55:59 | App2 | Debug | This is a debug-mode message! | 
 | 06-03-2023 12:56:03 | App1 | Error | This is an error message! | 
 | 06-03-2023 12:56:03 | App2 | Error | This is an error message! | 
 | 06-03-2023 12:56:03 | App2 | Warning | This is a warning message! | 
 | 06-03-2023 12:56:03 | App2 | Info | This is an informative message! | 
 | 06-03-2023 12:56:03 | App2 | Debug | This is a debug-mode message! | 
 | 06-03-2023 12:56:05 | App1 | Error | This is an error message! | 
 | 06-03-2023 12:56:05 | App2 | Error | This is an error message! | 
 | 06-03-2023 12:56:05 | App2 | Warning | This is a warning message! | 
 | 06-03-2023 12:56:05 | App2 | Info | This is an informative message! | 
 | 06-03-2023 12:56:05 | App2 | Debug | This is a debug-mode message! | 
 | 06-03-2023 12:56:08 | App1 | Error | This is an error message! | 
 | 06-03-2023 12:56:08 | App2 | Error | This is an error message! | 
 | 06-03-2023 12:56:08 | App2 | Warning | This is a warning message! | 
 | 06-03-2023 12:56:08 | App2 | Info | This is an informative message! | 
 | 06-03-2023 12:56:08 | App2 | Debug | This is a debug-mode message! | 
